file_hash,decompiled_file_name,raw_file_name,d_lookup_vs_decompiled,d_lookup_vs_repaired
02da82b1879af1bcc670b96ac233eb773c866a1ab7d8005ee6c0be1c312d57f6697636a6fffec57cced957188f340fdfa566423ef48297c8189406b89c65aed7,decompiled_alexa_config.cpython-312.py,alexa_config.py,247,243
011cba36a4760ef199bdadd1e9b8e3ffa2e13acc3f756f7526d819da59d45332e5b3db8560d0300192bc86b673b61cb90a44a6c882148770930732b81c8ff82a,decompiled_monitor.cpython-312.py,monitor.py,493,1301
00b693d35a37ea0b8c1df74ac8e191d0c83236e2730fc9a72c8038b7eb26d63681e122d74ed2c7602b4d65de935ee5830841920b0f79860132ed111b7df4bfdb,decompiled_job_service.cpython-312.py,job_service.py,975,971
0285ddc2a52e4ba742250c540dfc98de52b40b7d505be1d5b6fe56752a793e80b307301f3bb5ec94563466080c1c716ada0e452b164c3a4ba706e0b6708cb50f,decompiled__main.cpython-312.py,_main.py,508,449
021bdf5060530d6a65a75df989561806c00e6c1f2256423a43b32ce90f435366278b81f2a89926fb068e13e57cb63df32f01740eab997c3ac523d0491c647a89,decompiled_virtual_network_gateway.cpython-312.py,virtual_network_gateway.py,22671,17058
02eeb733cd0b7fa2824f05755d3f686bc76f2f891419da2d08d7b9f5ed60775073174e8b50b02e0974eb75807a88935f63c2c14ac1091a2212fe724d59518d49,decompiled_meter_digest_savings_yearly_response_results.cpython-312.py,meter_digest_savings_yearly_response_results.py,83,1
00c49c7bf0412dd891f54328ba23824baba1fdd5db45d95c267785ad7dba0ce6f7a80d93afec3ec45d9ba6deda0046b7e1dbb80599f5db3d2b5798417178e795,decompiled_clifford_gate.cpython-312.py,clifford_gate.py,1007,829
025db98fe9e86cc3c51f75063905e2481196da1e29b2339affd6567655e1f7a93d2cafa9588a701bec9bfb098602e2abd386b782069099e42003be32917878c6,decompiled_dataset_providers.cpython-312.py,dataset_providers.py,1784,1395
019306cacc5558b052d3e1d2265ed91a480dc11985fd05f637b2b864312d3b924b5494c1c21f4a4af5159576b2e9af351de20929c67db4e5d6867c83f5bd3843,decompiled_test_sql.cpython-312.py,test_sql.py,4142,5496
005f5e738211778e5896d6810c7b526d3298dc9bae1c512b5d23c03d28190413f10f4b866c8d76a6f84836d72dddd208bb16b9ebf9da3e66742d8c2a6ce2dd3e,decompiled_gedcom_parser.cpython-312.py,gedcom_parser.py,715,1113
